Question,ans1,ans2,ans3,ans4,info,correct
Wie wird der Harnstoffzyklus aufgrund seiner beiden Entdecker noch genannt?,Warburg-Humboldt-Zyklus,Liebermann-Lorenz-Zyklus,Krebs-Henseleit-Zyklus,Leibnitz-Kraut-Zyklus,"Hans Adolf Krebs entdeckte 1932 gemeinsam mit Kurt Henseleit den Harnstoffzyklus, der daher auch als Krebs-Henseleit-Zyklus (manchmal auch Ornithin-Zyklus) bezeichnet wird.",3
Welche stickstoffhaltige Substanz wird beim Harnstoffzyklus (hauptsächlich) in Harnstoff umgewandelt?,Ammonium,Harnsäure,Pyruvat,Essigsäure,"Beim Harnstoffzyklus wird Ammonium in ""ungiftigen"" und ""ausscheidbaren"" Harnstoff überführt.",1
Wie lautet die Summenformel von Harnstoff?,C2H6O,C2H4O2,CH4N2O,C6H12O6,"Die Summenformel von Harnstoff lautet CH4N2O (zu erkennen am Stickstoff 'N'). Die drei anderen Summenformeln sind übrigens Ethanol, Essigsäure und Glucose.",3
In welchem Organ findet die Harnstoffbildung (hauptsächlich) statt?,Gehirn,Leber,Harnblase,Bauchspeicheldrüse,Der Harnstoffzyklus erfolgt in den Mitochondrien und im Cytosol der Leberzellen (Hepatozyten) bzw. zu einem kleineren Teil in der Niere.,2
Aus welcher Substanz entsteht im ersten Schritt des Harnstoffzyklus die Aminosäure Citrullin?,Acetyl-CoA,Pyruvat,Oxalactetat,Ornithin,Citrullin entsteht als Zwischenprodukt des Harnstoffzyklus aus L-Ornithin und Carbamoylphosphat durch die Ornithin-Carbamoyl-Transferase.,4
Die Aufnahme welches Nährstoffs führt zu einer verstärkten Harnstoff-Bildung?,Eiweiß,Fett,Kohlenhydrate,Alkohol,Eine erhöhte Zufuhr von Eiweiß führt zu einer verstärkten Synthese von Harnstoff.,1
Wie wird der im Harnstoffzyklus gebildete Harnstoff ausgeschieden?,Schweiß,Niere,Darm,"Gar nicht, wird zum Aufbau von Muskulatur verwendet",Der im Harnstoffzyklus gebildete Harnstoff wird beim Menschen mit dem Urin über die Nieren ausgeschieden.,2
Statt Harnstoff bilden Vögel und die meisten Reptilien welche Substanz?,Ameisensäure,Asparagussäure,Hippursäure,Harnsäure,"Vögel und die meisten Reptilien produzieren statt Harnstoff Harnsäure, die sie auch ausscheiden.",4
Wie lautet die chemische Bezeichnung von Vitamin A?,Cholecalciferol,Pyridoxin,Retinol,Thiamin,"Die chemische Bezeichnung lautet Retinol. Unter dem Begriff ""Vitamin A"" werden jedoch noch weitere Substanzen wie z.B. Retinal zusammengefasst.",3
Welche der folgenden Aussagen ist falsch?,Vitamin A ist fettlöslich,Vitamin A ist wasserlöslich,Vitamin A ist löslich in unpolaren Lösungsmitteln,Vitamin A ist essentiell (lebensnotwendig),Vitamin A ist NICHT in Wasser löslich. Alle anderen Aussagen sind korrekt.,2
